sno,title,price,location,milage,fule_type,city
1,2015 Maruti Celerio CNG VXI MT,Rs.3.8 Lakh,Gurgaon,"64,687 km",CNG,Gurgaon
2,2018 Maruti Celerio VXI MT,Rs.4.95 Lakh,Sector 10,"12,319 km",Petrol,Noida
3,2014 Maruti Celerio ZXI,Rs.3.7 Lakh,Sector 10,"52,000 km",Petrol,Noida
4,2014 Maruti Celerio VXI,Rs.3.2 Lakh,Lajpat Nagar,"48,300 km",Petrol,New Delhi
5,2015 Maruti Celerio VXI AT,Rs.3.9 Lakh,Faridabad,"27,000 km",Petrol,Faridabad
6,2014 Maruti Celerio VXI AT,Rs.3.5 Lakh,Lajpat Nagar,"40,000 km",Petrol,New Delhi
7,2014 Maruti Celerio VXI AT,Rs.3.16 Lakh,Vasant Kunj,"62,154 km",Petrol,New Delhi
8,2016 Maruti Celerio VXI MT,Rs.3.6 Lakh,Kirti nagar,"9,974 km",Petrol,New Delhi
9,2016 Maruti Celerio VXI,Rs.4.5 Lakh,Sector 10,"2,400 km",Petrol,Noida
10,2015 Maruti Celerio VXI AT,Rs.3.7 Lakh,Prashant Vihar,"49,000 km",Petrol,New Delhi
11,2014 Maruti Celerio VXI,Rs.3.25 Lakh,Lajpat Nagar,"48,000 km",Petrol,New Delhi
12,2017 Maruti Celerio ZXI AMT,Rs.4.75 Lakh,Sector 28,"32,825 km",Petrol,Gurgaon
13,2015 Maruti Celerio ZDi Option,Rs.3.35 Lakh,Noida,"40,700 km",Diesel,Noida
14,2016 Maruti Celerio ZXI AT,Rs.4.25 Lakh,Rohini Sector 25,"16,000 km",Petrol,New Delhi
15,2017 Maruti Celerio ZXI AMT,Rs.4.5 Lakh,Sector 28,"20,695 km",Petrol,Gurgaon
16,2017 Maruti Celerio ZXI AMT,Rs.4.6 Lakh,Sector 28,"36,129 km",Petrol,Gurgaon
17,2015 Maruti Celerio VDi,Rs.3.5 Lakh,Naraina,"40,000 km",Diesel,New Delhi
18,2014 Maruti Celerio VXI AT,Rs.3.25 Lakh,Bengali Market,"48,000 km",Petrol,New Delhi
19,2016 Maruti Celerio ZDi,Rs.3.65 Lakh,Sector 16,"44,000 km",Diesel,Noida
20,2016 Maruti Celerio ZXI AT,Rs.3.72 Lakh,Mathura Road Faridabad,"67,267 km",Petrol,Faridabad
